track_ids,track_names,artists,first_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,mood
2x03XLsTZ0o86h0cfHrkKF,After Hours,['Kehlani'],Kehlani,0.729,0.777,1,-3.991,1,0.0431,0.069,0.00162,0.112,0.744,121.016,audio_features,2x03XLsTZ0o86h0cfHrkKF,spotify:track:2x03XLsTZ0o86h0cfHrkKF,https://api.spotify.com/v1/tracks/2x03XLsTZ0o86h0cfHrkKF,https://api.spotify.com/v1/audio-analysis/2x03XLsTZ0o86h0cfHrkKF,202414,4,Happy
0gLFMd2AWX4C0KIipkixxj,Lately I,['Peach Tree Rascals'],Peach Tree Rascals,0.536,0.738,2,-5.442,1,0.0562,0.109,1.72e-06,0.296,0.774,168.104,audio_features,0gLFMd2AWX4C0KIipkixxj,spotify:track:0gLFMd2AWX4C0KIipkixxj,https://api.spotify.com/v1/tracks/0gLFMd2AWX4C0KIipkixxj,https://api.spotify.com/v1/audio-analysis/0gLFMd2AWX4C0KIipkixxj,187162,4,Happy
0K9tfzrxJyCQIf7oAlPwaK,YA YA,['Beyoncé'],Beyoncé,0.617,0.904,11,-5.371,1,0.341,0.317,0.0,0.507,0.764,151.926,audio_features,0K9tfzrxJyCQIf7oAlPwaK,spotify:track:0K9tfzrxJyCQIf7oAlPwaK,https://api.spotify.com/v1/tracks/0K9tfzrxJyCQIf7oAlPwaK,https://api.spotify.com/v1/audio-analysis/0K9tfzrxJyCQIf7oAlPwaK,274766,4,Happy
7vggqxNKwd6xdRoYS0pQtM,Three Little Birds,['Bob Marley & The Wailers'],Bob Marley & The Wailers,0.825,0.494,9,-10.486,1,0.0699,0.00956,5.82e-06,0.0361,0.627,74.103,audio_features,7vggqxNKwd6xdRoYS0pQtM,spotify:track:7vggqxNKwd6xdRoYS0pQtM,https://api.spotify.com/v1/tracks/7vggqxNKwd6xdRoYS0pQtM,https://api.spotify.com/v1/audio-analysis/7vggqxNKwd6xdRoYS0pQtM,180440,4,Happy
2H881m3JRA8lpuuwaQL6zy,No Fear,['DeJ Loaf'],DeJ Loaf,0.614,0.682,11,-4.117,0,0.102,0.387,0.0,0.134,0.566,100.202,audio_features,2H881m3JRA8lpuuwaQL6zy,spotify:track:2H881m3JRA8lpuuwaQL6zy,https://api.spotify.com/v1/tracks/2H881m3JRA8lpuuwaQL6zy,https://api.spotify.com/v1/audio-analysis/2H881m3JRA8lpuuwaQL6zy,169853,4,Happy
3B7cm8w1IAfOfgQHFvAsft,Keep It Up,['Good Neighbours'],Good Neighbours,0.523,0.912,8,-3.867,1,0.0775,0.0517,1.45e-06,0.102,0.392,88.829,audio_features,3B7cm8w1IAfOfgQHFvAsft,spotify:track:3B7cm8w1IAfOfgQHFvAsft,https://api.spotify.com/v1/tracks/3B7cm8w1IAfOfgQHFvAsft,https://api.spotify.com/v1/audio-analysis/3B7cm8w1IAfOfgQHFvAsft,156524,4,Happy
0ve0CavjqrUqVmZ605RhTV,Jump,"['Tyla', 'Gunna', 'Skillibeng']",Tyla,0.79,0.716,10,-3.446,0,0.0929,0.0297,1.87e-05,0.213,0.627,100.104,audio_features,0ve0CavjqrUqVmZ605RhTV,spotify:track:0ve0CavjqrUqVmZ605RhTV,https://api.spotify.com/v1/tracks/0ve0CavjqrUqVmZ605RhTV,https://api.spotify.com/v1/audio-analysis/0ve0CavjqrUqVmZ605RhTV,147071,4,Happy
1xIhiVVntsudPMTRFoODyo,Honey Boy (feat. Nile Rodgers & Shenseea),"['Purple Disco Machine', 'Benjamin Ingrosso', 'Nile Rodgers', 'Shenseea']",Purple Disco Machine,0.723,0.801,5,-5.468,0,0.0554,0.0104,0.000106,0.0819,0.928,119.987,audio_features,1xIhiVVntsudPMTRFoODyo,spotify:track:1xIhiVVntsudPMTRFoODyo,https://api.spotify.com/v1/tracks/1xIhiVVntsudPMTRFoODyo,https://api.spotify.com/v1/audio-analysis/1xIhiVVntsudPMTRFoODyo,227283,4,Happy
2WGcpz55A2vrvh6foEGCNL,Calling After Me,['Wallows'],Wallows,0.636,0.797,8,-4.644,1,0.0296,0.00598,4.26e-06,0.114,0.965,139.963,audio_features,2WGcpz55A2vrvh6foEGCNL,spotify:track:2WGcpz55A2vrvh6foEGCNL,https://api.spotify.com/v1/tracks/2WGcpz55A2vrvh6foEGCNL,https://api.spotify.com/v1/audio-analysis/2WGcpz55A2vrvh6foEGCNL,187693,4,Happy
6Y4rniIxibegzsg8cdWAWV,BODYGUARD,['Beyoncé'],Beyoncé,0.726,0.779,4,-5.432,0,0.0551,0.0137,0.000235,0.365,0.539,119.031,audio_features,6Y4rniIxibegzsg8cdWAWV,spotify:track:6Y4rniIxibegzsg8cdWAWV,https://api.spotify.com/v1/tracks/6Y4rniIxibegzsg8cdWAWV,https://api.spotify.com/v1/audio-analysis/6Y4rniIxibegzsg8cdWAWV,240254,4,Happy
5QPRZdajTSKbdUERR8zvWB,Living In A Haze - feat. The Beaches,"['Milky Chance', 'The Beaches']",Milky Chance,0.662,0.772,1,-4.79,1,0.0471,0.317,0.0,0.114,0.417,129.895,audio_features,5QPRZdajTSKbdUERR8zvWB,spotify:track:5QPRZdajTSKbdUERR8zvWB,https://api.spotify.com/v1/tracks/5QPRZdajTSKbdUERR8zvWB,https://api.spotify.com/v1/audio-analysis/5QPRZdajTSKbdUERR8zvWB,173371,4,Happy
1Gp3vNi64EY7sEStAZ51en,clouds,['JVKE'],JVKE,0.641,0.905,11,-3.694,1,0.0334,0.435,0.0491,0.185,0.875,94.874,audio_features,1Gp3vNi64EY7sEStAZ51en,spotify:track:1Gp3vNi64EY7sEStAZ51en,https://api.spotify.com/v1/tracks/1Gp3vNi64EY7sEStAZ51en,https://api.spotify.com/v1/audio-analysis/1Gp3vNi64EY7sEStAZ51en,162615,4,Happy
6RmWk7p9QY8VMGHdgq4Ulh,Shotput,['Still Woozy'],Still Woozy,0.712,0.662,6,-4.777,0,0.059,0.318,0.000686,0.17,0.903,100.881,audio_features,6RmWk7p9QY8VMGHdgq4Ulh,spotify:track:6RmWk7p9QY8VMGHdgq4Ulh,https://api.spotify.com/v1/tracks/6RmWk7p9QY8VMGHdgq4Ulh,https://api.spotify.com/v1/audio-analysis/6RmWk7p9QY8VMGHdgq4Ulh,170698,4,Happy
6If1Aw9BpAtmnP1GByGjfr,Comin’ Around Again,['Amber Mark'],Amber Mark,0.697,0.443,6,-7.227,1,0.0419,0.00784,0.0237,0.0779,0.807,76.995,audio_features,6If1Aw9BpAtmnP1GByGjfr,spotify:track:6If1Aw9BpAtmnP1GByGjfr,https://api.spotify.com/v1/tracks/6If1Aw9BpAtmnP1GByGjfr,https://api.spotify.com/v1/audio-analysis/6If1Aw9BpAtmnP1GByGjfr,186901,3,Happy
3qhlB30KknSejmIvZZLjOD,End of Beginning,['Djo'],Djo,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,audio_features,3qhlB30KknSejmIvZZLjOD,spotify:track:3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD,https://api.spotify.com/v1/audio-analysis/3qhlB30KknSejmIvZZLjOD,159246,4,Happy
64fITmtln0OJqcxPf09vnY,HERicane,['Lucky Daye'],Lucky Daye,0.739,0.686,7,-6.317,0,0.0479,0.244,0.00145,0.0963,0.743,95.0,audio_features,64fITmtln0OJqcxPf09vnY,spotify:track:64fITmtln0OJqcxPf09vnY,https://api.spotify.com/v1/tracks/64fITmtln0OJqcxPf09vnY,https://api.spotify.com/v1/audio-analysis/64fITmtln0OJqcxPf09vnY,227368,4,Happy
4mH5oNojEmOswUGgCizDeb,Lovely Day - Studio Rio Version,"['Bill Withers', 'Studio Rio']",Bill Withers,0.686,0.833,9,-5.449,1,0.0403,0.12,0.105,0.0894,0.897,97.671,audio_features,4mH5oNojEmOswUGgCizDeb,spotify:track:4mH5oNojEmOswUGgCizDeb,https://api.spotify.com/v1/tracks/4mH5oNojEmOswUGgCizDeb,https://api.spotify.com/v1/audio-analysis/4mH5oNojEmOswUGgCizDeb,237933,4,Happy
21wYclGDiieKf42kEWxqV9,Intergalactic Janet,['Ley Soul'],Ley Soul,0.766,0.478,10,-10.672,0,0.0346,0.457,0.00195,0.113,0.832,139.974,audio_features,21wYclGDiieKf42kEWxqV9,spotify:track:21wYclGDiieKf42kEWxqV9,https://api.spotify.com/v1/tracks/21wYclGDiieKf42kEWxqV9,https://api.spotify.com/v1/audio-analysis/21wYclGDiieKf42kEWxqV9,160440,4,Happy
3IbT4cFEQYLz1P9MFnRmYu,I Love To Dance,['Isaac Dunbar'],Isaac Dunbar,0.714,0.793,1,-4.169,1,0.0418,0.032,0.000698,0.0887,0.922,89.992,audio_features,3IbT4cFEQYLz1P9MFnRmYu,spotify:track:3IbT4cFEQYLz1P9MFnRmYu,https://api.spotify.com/v1/tracks/3IbT4cFEQYLz1P9MFnRmYu,https://api.spotify.com/v1/audio-analysis/3IbT4cFEQYLz1P9MFnRmYu,119400,4,Happy
6ECwimRuwOxwQv5VXoN5Mt,Doin' Time,['Lana Del Rey'],Lana Del Rey,0.622,0.693,7,-5.812,0,0.0434,0.342,0.000708,0.0876,0.446,144.936,audio_features,6ECwimRuwOxwQv5VXoN5Mt,spotify:track:6ECwimRuwOxwQv5VXoN5Mt,https://api.spotify.com/v1/tracks/6ECwimRuwOxwQv5VXoN5Mt,https://api.spotify.com/v1/audio-analysis/6ECwimRuwOxwQv5VXoN5Mt,201997,4,Happy
4oAGV7IADPWfkpk6aGQqZt,Capricorn,['Vampire Weekend'],Vampire Weekend,0.566,0.641,7,-4.085,1,0.0303,0.142,0.000743,0.0929,0.558,139.942,audio_features,4oAGV7IADPWfkpk6aGQqZt,spotify:track:4oAGV7IADPWfkpk6aGQqZt,https://api.spotify.com/v1/tracks/4oAGV7IADPWfkpk6aGQqZt,https://api.spotify.com/v1/audio-analysis/4oAGV7IADPWfkpk6aGQqZt,249560,4,Happy
